 ,Area1,Mean1,Min1,Max1,Circ.1,AR1,Round1,Solidity1,Area2,Mean2,Min2,Max2,Circ.2,AR2,Round2,Solidity2,Area3,Mean3,Min3,Max3,Circ.3,AR3,Round3,Solidity3,Area4,Mean4,Min4,Max4,Circ.4,AR4,Round4,Solidity4
1,397403.656,92.115,12,310,1,1.038,0.963,1.003,397403.656,82.341,8,275,1,1.038,0.963,1.003,397403.656,86.968,11,268,1,1.038,0.963,1.003,397403.656,100.889,12,386,1,1.038,0.963,1.003
2,397403.656,92.609,13,327,1,1.038,0.963,1.003,397403.656,83.436,15,298,1,1.038,0.963,1.003,397403.656,87.254,14,322,1,1.038,0.963,1.003,397403.656,101.181,13,355,1,1.038,0.963,1.003
3,397403.656,92.580,9,355,1,1.038,0.963,1.003,397403.656,83.192,12,236,1,1.038,0.963,1.003,397403.656,86.940,11,281,1,1.038,0.963,1.003,397403.656,100.317,11,344,1,1.038,0.963,1.003
4,397403.656,91.773,7,354,1,1.038,0.963,1.003,397403.656,82.305,3,246,1,1.038,0.963,1.003,397403.656,86.991,14,285,1,1.038,0.963,1.003,397403.656,100.662,8,318,1,1.038,0.963,1.003
5,397403.656,91.654,12,323,1,1.038,0.963,1.003,397403.656,81.753,10,313,1,1.038,0.963,1.003,397403.656,86.549,8,265,1,1.038,0.963,1.003,397403.656,100.415,13,344,1,1.038,0.963,1.003
6,397403.656,92.271,14,318,1,1.038,0.963,1.003,397403.656,82.966,9,258,1,1.038,0.963,1.003,397403.656,86.316,10,268,1,1.038,0.963,1.003,397403.656,100.578,9,367,1,1.038,0.963,1.003
7,397403.656,91.505,9,330,1,1.038,0.963,1.003,397403.656,82.766,16,276,1,1.038,0.963,1.003,397403.656,86.664,12,325,1,1.038,0.963,1.003,397403.656,99.429,13,357,1,1.038,0.963,1.003
8,397403.656,92.020,5,414,1,1.038,0.963,1.003,397403.656,82.459,9,235,1,1.038,0.963,1.003,397403.656,86.925,13,278,1,1.038,0.963,1.003,397403.656,99.835,10,366,1,1.038,0.963,1.003
9,397403.656,91.983,10,389,1,1.038,0.963,1.003,397403.656,82.557,7,235,1,1.038,0.963,1.003,397403.656,86.946,15,328,1,1.038,0.963,1.003,397403.656,100.226,8,361,1,1.038,0.963,1.003
10,397403.656,92.703,13,307,1,1.038,0.963,1.003,397403.656,82.303,9,249,1,1.038,0.963,1.003,397403.656,87.036,14,284,1,1.038,0.963,1.003,397403.656,100.870,16,409,1,1.038,0.963,1.003
11,397403.656,92.042,7,371,1,1.038,0.963,1.003,397403.656,82.731,7,273,1,1.038,0.963,1.003,397403.656,87.011,5,311,1,1.038,0.963,1.003,397403.656,100.029,18,340,1,1.038,0.963,1.003
12,397403.656,91.407,13,290,1,1.038,0.963,1.003,397403.656,82.019,10,254,1,1.038,0.963,1.003,397403.656,85.881,8,251,1,1.038,0.963,1.003,397403.656,99.503,12,338,1,1.038,0.963,1.003
13,397403.656,92.208,6,329,1,1.038,0.963,1.003,397403.656,82.300,11,321,1,1.038,0.963,1.003,397403.656,87.296,8,311,1,1.038,0.963,1.003,397403.656,100.312,10,393,1,1.038,0.963,1.003
14,397403.656,92.002,12,324,1,1.038,0.963,1.003,397403.656,82.938,11,274,1,1.038,0.963,1.003,397403.656,87.369,14,295,1,1.038,0.963,1.003,397403.656,100.552,10,358,1,1.038,0.963,1.003
15,397403.656,91.599,8,329,1,1.038,0.963,1.003,397403.656,82.719,6,234,1,1.038,0.963,1.003,397403.656,87.046,10,280,1,1.038,0.963,1.003,397403.656,99.932,12,367,1,1.038,0.963,1.003
16,397403.656,92.548,10,296,1,1.038,0.963,1.003,397403.656,82.761,8,296,1,1.038,0.963,1.003,397403.656,87.274,5,284,1,1.038,0.963,1.003,397403.656,100.096,4,367,1,1.038,0.963,1.003
