 ,Area1,Mean1,Min1,Max1,Circ.1,AR1,Round1,Solidity1,Area2,Mean2,Min2,Max2,Circ.2,AR2,Round2,Solidity2,Area3,Mean3,Min3,Max3,Circ.3,AR3,Round3,Solidity3,Area4,Mean4,Min4,Max4,Circ.4,AR4,Round4,Solidity4
1,397403.656,125.208,9,471,1,1.038,0.963,1.003,397403.656,160.225,6,1023,1,1.038,0.963,1.003,397403.656,151.247,9,580,1,1.038,0.963,1.003,397403.656,151.959,0,1023,1,1.038,0.963,1.003
2,397403.656,125.355,2,493,1,1.038,0.963,1.003,397403.656,160.873,4,1023,1,1.038,0.963,1.003,397403.656,151.684,5,635,1,1.038,0.963,1.003,397403.656,151.255,6,1023,1,1.038,0.963,1.003
3,397403.656,125.492,7,453,1,1.038,0.963,1.003,397403.656,160.618,0,1023,1,1.038,0.963,1.003,397403.656,152.100,9,686,1,1.038,0.963,1.003,397403.656,151.809,7,1023,1,1.038,0.963,1.003
4,397403.656,126.180,8,562,1,1.038,0.963,1.003,397403.656,160.390,0,1023,1,1.038,0.963,1.003,397403.656,153.092,2,604,1,1.038,0.963,1.003,397403.656,151.017,6,1023,1,1.038,0.963,1.003
5,397403.656,125.650,3,458,1,1.038,0.963,1.003,397403.656,161.541,3,1023,1,1.038,0.963,1.003,397403.656,151.591,4,559,1,1.038,0.963,1.003,397403.656,152.664,1,1023,1,1.038,0.963,1.003
6,397403.656,124.842,4,449,1,1.038,0.963,1.003,397403.656,161.187,9,1023,1,1.038,0.963,1.003,397403.656,152.240,5,555,1,1.038,0.963,1.003,397403.656,152.003,10,925,1,1.038,0.963,1.003
7,397403.656,125.715,2,443,1,1.038,0.963,1.003,397403.656,161.691,3,1023,1,1.038,0.963,1.003,397403.656,153.161,3,591,1,1.038,0.963,1.003,397403.656,152.364,8,1023,1,1.038,0.963,1.003
8,397403.656,126.891,5,429,1,1.038,0.963,1.003,397403.656,160.926,3,1023,1,1.038,0.963,1.003,397403.656,151.593,6,548,1,1.038,0.963,1.003,397403.656,152.034,6,979,1,1.038,0.963,1.003
9,397403.656,125.029,6,438,1,1.038,0.963,1.003,397403.656,159.896,3,1023,1,1.038,0.963,1.003,397403.656,152.265,8,563,1,1.038,0.963,1.003,397403.656,152.538,9,1023,1,1.038,0.963,1.003
10,397403.656,124.359,3,422,1,1.038,0.963,1.003,397403.656,161.242,6,1023,1,1.038,0.963,1.003,397403.656,151.848,5,688,1,1.038,0.963,1.003,397403.656,152.663,7,1023,1,1.038,0.963,1.003
11,397403.656,126.339,5,488,1,1.038,0.963,1.003,397403.656,160.411,6,1023,1,1.038,0.963,1.003,397403.656,152.469,9,669,1,1.038,0.963,1.003,397403.656,153.105,7,1023,1,1.038,0.963,1.003
12,397403.656,124.945,5,452,1,1.038,0.963,1.003,397403.656,160.918,4,1023,1,1.038,0.963,1.003,397403.656,151.272,6,714,1,1.038,0.963,1.003,397403.656,151.670,11,1023,1,1.038,0.963,1.003
13,397403.656,125.320,4,419,1,1.038,0.963,1.003,397403.656,160.555,4,1023,1,1.038,0.963,1.003,397403.656,151.172,1,629,1,1.038,0.963,1.003,397403.656,153.015,11,1023,1,1.038,0.963,1.003
14,397403.656,124.675,5,425,1,1.038,0.963,1.003,397403.656,159.799,6,1023,1,1.038,0.963,1.003,397403.656,149.874,7,626,1,1.038,0.963,1.003,397403.656,152.596,6,943,1,1.038,0.963,1.003
15,397403.656,124.677,6,410,1,1.038,0.963,1.003,397403.656,160.200,1,1023,1,1.038,0.963,1.003,397403.656,152.572,9,545,1,1.038,0.963,1.003,397403.656,152.109,7,992,1,1.038,0.963,1.003
16,397403.656,125.439,3,490,1,1.038,0.963,1.003,397403.656,161.545,2,1023,1,1.038,0.963,1.003,397403.656,153.102,11,585,1,1.038,0.963,1.003,397403.656,151.855,8,1023,1,1.038,0.963,1.003
17,397403.656,125.471,5,497,1,1.038,0.963,1.003,397403.656,160.835,4,1023,1,1.038,0.963,1.003,397403.656,151.041,12,581,1,1.038,0.963,1.003,397403.656,151.573,5,953,1,1.038,0.963,1.003
18,397403.656,124.154,6,463,1,1.038,0.963,1.003,397403.656,159.998,5,1023,1,1.038,0.963,1.003,397403.656,150.829,4,632,1,1.038,0.963,1.003,397403.656,152.245,6,995,1,1.038,0.963,1.003
19,397403.656,124.695,4,546,1,1.038,0.963,1.003,397403.656,161.410,2,1023,1,1.038,0.963,1.003,397403.656,151.810,8,531,1,1.038,0.963,1.003,397403.656,152.308,7,1023,1,1.038,0.963,1.003
20,397403.656,124.632,9,435,1,1.038,0.963,1.003,397403.656,161.181,3,1023,1,1.038,0.963,1.003,397403.656,151.143,3,523,1,1.038,0.963,1.003,397403.656,150.231,3,1023,1,1.038,0.963,1.003
21,397403.656,123.928,5,484,1,1.038,0.963,1.003,397403.656,160.987,3,1023,1,1.038,0.963,1.003,397403.656,150.602,4,744,1,1.038,0.963,1.003,397403.656,151.707,7,1023,1,1.038,0.963,1.003
22,397403.656,124.834,1,395,1,1.038,0.963,1.003,397403.656,161.178,0,1023,1,1.038,0.963,1.003,397403.656,151.287,5,613,1,1.038,0.963,1.003,397403.656,151.528,6,966,1,1.038,0.963,1.003
23,397403.656,124.764,8,425,1,1.038,0.963,1.003,397403.656,161.494,1,1023,1,1.038,0.963,1.003,397403.656,150.794,10,739,1,1.038,0.963,1.003,397403.656,152.541,13,1023,1,1.038,0.963,1.003
24,397403.656,125.426,4,521,1,1.038,0.963,1.003,397403.656,160.649,9,1023,1,1.038,0.963,1.003,397403.656,151.503,6,564,1,1.038,0.963,1.003,397403.656,151.646,9,985,1,1.038,0.963,1.003
25,397403.656,125.474,2,437,1,1.038,0.963,1.003,397403.656,160.941,4,1023,1,1.038,0.963,1.003,397403.656,152.732,6,650,1,1.038,0.963,1.003,397403.656,151.288,4,1023,1,1.038,0.963,1.003
26,397403.656,123.885,1,450,1,1.038,0.963,1.003,397403.656,159.874,3,1023,1,1.038,0.963,1.003,397403.656,150.400,9,650,1,1.038,0.963,1.003,397403.656,151.345,0,1023,1,1.038,0.963,1.003
27,397403.656,125.971,3,414,1,1.038,0.963,1.003,397403.656,160.970,1,1023,1,1.038,0.963,1.003,397403.656,150.511,5,535,1,1.038,0.963,1.003,397403.656,152.000,7,952,1,1.038,0.963,1.003
28,397403.656,124.549,4,513,1,1.038,0.963,1.003,397403.656,159.125,2,1023,1,1.038,0.963,1.003,397403.656,150.431,8,610,1,1.038,0.963,1.003,397403.656,150.260,3,993,1,1.038,0.963,1.003
29,397403.656,123.690,2,421,1,1.038,0.963,1.003,397403.656,159.337,3,1023,1,1.038,0.963,1.003,397403.656,151.497,5,629,1,1.038,0.963,1.003,397403.656,151.643,7,921,1,1.038,0.963,1.003
30,397403.656,123.821,1,403,1,1.038,0.963,1.003,397403.656,159.641,1,1023,1,1.038,0.963,1.003,397403.656,151.489,12,640,1,1.038,0.963,1.003,397403.656,151.945,4,1023,1,1.038,0.963,1.003
31,397403.656,124.486,4,479,1,1.038,0.963,1.003,397403.656,160.522,1,1023,1,1.038,0.963,1.003,397403.656,150.014,8,559,1,1.038,0.963,1.003,397403.656,151.883,5,1010,1,1.038,0.963,1.003
32,397403.656,124.921,7,435,1,1.038,0.963,1.003,397403.656,161.132,4,1023,1,1.038,0.963,1.003,397403.656,151.516,4,645,1,1.038,0.963,1.003,397403.656,150.918,8,1023,1,1.038,0.963,1.003
33,397403.656,125.067,4,411,1,1.038,0.963,1.003,397403.656,159.819,1,1023,1,1.038,0.963,1.003,397403.656,150.804,2,564,1,1.038,0.963,1.003,397403.656,152.839,10,999,1,1.038,0.963,1.003
34,397403.656,125.746,4,466,1,1.038,0.963,1.003,397403.656,160.089,5,1023,1,1.038,0.963,1.003,397403.656,152.093,0,584,1,1.038,0.963,1.003,397403.656,151.418,3,1023,1,1.038,0.963,1.003
35,397403.656,123.904,4,462,1,1.038,0.963,1.003,397403.656,160.764,2,1023,1,1.038,0.963,1.003,397403.656,149.815,6,577,1,1.038,0.963,1.003,397403.656,150.749,8,1008,1,1.038,0.963,1.003
36,397403.656,124.264,4,453,1,1.038,0.963,1.003,397403.656,159.855,1,1023,1,1.038,0.963,1.003,397403.656,150.630,4,558,1,1.038,0.963,1.003,397403.656,151.400,10,944,1,1.038,0.963,1.003
37,397403.656,124.756,2,505,1,1.038,0.963,1.003,397403.656,161.143,7,1023,1,1.038,0.963,1.003,397403.656,151.786,13,667,1,1.038,0.963,1.003,397403.656,152.715,3,881,1,1.038,0.963,1.003
38,397403.656,124.794,5,416,1,1.038,0.963,1.003,397403.656,160.114,0,1023,1,1.038,0.963,1.003,397403.656,149.809,7,603,1,1.038,0.963,1.003,397403.656,151.870,8,1023,1,1.038,0.963,1.003
39,397403.656,124.383,6,553,1,1.038,0.963,1.003,397403.656,159.795,5,1023,1,1.038,0.963,1.003,397403.656,151.424,7,538,1,1.038,0.963,1.003,397403.656,150.874,5,957,1,1.038,0.963,1.003
40,397403.656,125.018,5,444,1,1.038,0.963,1.003,397403.656,160.272,3,1023,1,1.038,0.963,1.003,397403.656,151.423,12,628,1,1.038,0.963,1.003,397403.656,151.093,2,1023,1,1.038,0.963,1.003
