 ,Area1,Mean1,Min1,Max1,Circ.1,AR1,Round1,Solidity1,Area2,Mean2,Min2,Max2,Circ.2,AR2,Round2,Solidity2,Area3,Mean3,Min3,Max3,Circ.3,AR3,Round3,Solidity3,Area4,Mean4,Min4,Max4,Circ.4,AR4,Round4,Solidity4
1,397403.656,120.577,4,411,1,1.038,0.963,1.003,397403.656,156.660,2,1023,1,1.038,0.963,1.003,397403.656,191.939,5,1023,1,1.038,0.963,1.003,397403.656,148.735,8,1023,1,1.038,0.963,1.003
2,397403.656,122.586,3,443,1,1.038,0.963,1.003,397403.656,157.023,0,1023,1,1.038,0.963,1.003,397403.656,192.253,0,928,1,1.038,0.963,1.003,397403.656,149.526,11,1005,1,1.038,0.963,1.003
3,397403.656,121.729,6,509,1,1.038,0.963,1.003,397403.656,157.421,3,1023,1,1.038,0.963,1.003,397403.656,192.928,10,836,1,1.038,0.963,1.003,397403.656,149.075,9,1023,1,1.038,0.963,1.003
4,397403.656,122.081,7,457,1,1.038,0.963,1.003,397403.656,157.179,0,1023,1,1.038,0.963,1.003,397403.656,192.053,2,843,1,1.038,0.963,1.003,397403.656,149.763,6,1023,1,1.038,0.963,1.003
5,397403.656,120.984,6,541,1,1.038,0.963,1.003,397403.656,155.791,5,1023,1,1.038,0.963,1.003,397403.656,192.928,3,829,1,1.038,0.963,1.003,397403.656,148.495,3,1023,1,1.038,0.963,1.003
6,397403.656,121.855,0,427,1,1.038,0.963,1.003,397403.656,157.638,6,1023,1,1.038,0.963,1.003,397403.656,192.127,8,1010,1,1.038,0.963,1.003,397403.656,149.246,9,966,1,1.038,0.963,1.003
7,397403.656,121.825,0,404,1,1.038,0.963,1.003,397403.656,157.800,3,1023,1,1.038,0.963,1.003,397403.656,191.268,9,1023,1,1.038,0.963,1.003,397403.656,148.399,4,1023,1,1.038,0.963,1.003
8,397403.656,120.346,6,382,1,1.038,0.963,1.003,397403.656,158.196,2,1023,1,1.038,0.963,1.003,397403.656,190.396,1,897,1,1.038,0.963,1.003,397403.656,148.949,5,1023,1,1.038,0.963,1.003
9,397403.656,120.937,4,390,1,1.038,0.963,1.003,397403.656,157.786,1,1023,1,1.038,0.963,1.003,397403.656,192.869,0,854,1,1.038,0.963,1.003,397403.656,148.895,2,1023,1,1.038,0.963,1.003
10,397403.656,122.129,4,421,1,1.038,0.963,1.003,397403.656,158.116,6,1023,1,1.038,0.963,1.003,397403.656,192.256,3,892,1,1.038,0.963,1.003,397403.656,148.709,5,962,1,1.038,0.963,1.003
11,397403.656,122.034,5,501,1,1.038,0.963,1.003,397403.656,156.886,1,1023,1,1.038,0.963,1.003,397403.656,191.463,6,915,1,1.038,0.963,1.003,397403.656,148.421,2,880,1,1.038,0.963,1.003
12,397403.656,121.968,4,489,1,1.038,0.963,1.003,397403.656,156.841,1,1023,1,1.038,0.963,1.003,397403.656,192.224,2,800,1,1.038,0.963,1.003,397403.656,149.141,3,1023,1,1.038,0.963,1.003
13,397403.656,121.285,0,374,1,1.038,0.963,1.003,397403.656,158.318,6,1023,1,1.038,0.963,1.003,397403.656,191.783,4,903,1,1.038,0.963,1.003,397403.656,148.989,7,1023,1,1.038,0.963,1.003
14,397403.656,121.001,0,471,1,1.038,0.963,1.003,397403.656,156.982,4,1023,1,1.038,0.963,1.003,397403.656,192.019,9,946,1,1.038,0.963,1.003,397403.656,148.981,11,1023,1,1.038,0.963,1.003
15,397403.656,120.954,1,492,1,1.038,0.963,1.003,397403.656,157.394,2,1023,1,1.038,0.963,1.003,397403.656,191.492,6,935,1,1.038,0.963,1.003,397403.656,148.173,3,937,1,1.038,0.963,1.003
16,397403.656,120.629,2,450,1,1.038,0.963,1.003,397403.656,155.981,2,1023,1,1.038,0.963,1.003,397403.656,190.359,4,1012,1,1.038,0.963,1.003,397403.656,148.645,11,1023,1,1.038,0.963,1.003
17,397403.656,120.471,0,448,1,1.038,0.963,1.003,397403.656,156.032,1,1023,1,1.038,0.963,1.003,397403.656,191.419,3,930,1,1.038,0.963,1.003,397403.656,149.058,7,1023,1,1.038,0.963,1.003
18,397403.656,121.641,8,388,1,1.038,0.963,1.003,397403.656,156.677,2,1023,1,1.038,0.963,1.003,397403.656,191.883,8,898,1,1.038,0.963,1.003,397403.656,149.537,5,1019,1,1.038,0.963,1.003
19,397403.656,120.838,5,455,1,1.038,0.963,1.003,397403.656,158.394,9,1023,1,1.038,0.963,1.003,397403.656,192.242,5,1023,1,1.038,0.963,1.003,397403.656,150.299,4,1023,1,1.038,0.963,1.003
20,397403.656,120.822,2,451,1,1.038,0.963,1.003,397403.656,156.500,5,1023,1,1.038,0.963,1.003,397403.656,191.315,1,883,1,1.038,0.963,1.003,397403.656,149.117,9,1023,1,1.038,0.963,1.003
21,397403.656,121.588,8,498,1,1.038,0.963,1.003,397403.656,155.747,6,1023,1,1.038,0.963,1.003,397403.656,189.533,8,874,1,1.038,0.963,1.003,397403.656,148.007,3,847,1,1.038,0.963,1.003
22,397403.656,120.907,7,615,1,1.038,0.963,1.003,397403.656,156.845,3,1023,1,1.038,0.963,1.003,397403.656,192.041,3,996,1,1.038,0.963,1.003,397403.656,147.928,10,1023,1,1.038,0.963,1.003
23,397403.656,120.369,8,531,1,1.038,0.963,1.003,397403.656,156.373,0,1023,1,1.038,0.963,1.003,397403.656,191.283,10,983,1,1.038,0.963,1.003,397403.656,147.734,5,925,1,1.038,0.963,1.003
24,397403.656,120.903,0,376,1,1.038,0.963,1.003,397403.656,156.483,3,1023,1,1.038,0.963,1.003,397403.656,192.010,9,930,1,1.038,0.963,1.003,397403.656,147.965,5,946,1,1.038,0.963,1.003
25,397403.656,120.272,8,413,1,1.038,0.963,1.003,397403.656,157.100,3,1023,1,1.038,0.963,1.003,397403.656,189.671,5,944,1,1.038,0.963,1.003,397403.656,147.565,7,1023,1,1.038,0.963,1.003
26,397403.656,120.247,0,555,1,1.038,0.963,1.003,397403.656,157.080,1,1023,1,1.038,0.963,1.003,397403.656,190.105,0,1014,1,1.038,0.963,1.003,397403.656,148.256,6,977,1,1.038,0.963,1.003
27,397403.656,121.189,0,417,1,1.038,0.963,1.003,397403.656,157.024,1,1023,1,1.038,0.963,1.003,397403.656,191.869,0,908,1,1.038,0.963,1.003,397403.656,149.756,8,973,1,1.038,0.963,1.003
28,397403.656,120.347,6,410,1,1.038,0.963,1.003,397403.656,156.510,1,1023,1,1.038,0.963,1.003,397403.656,191.870,4,900,1,1.038,0.963,1.003,397403.656,147.239,2,1023,1,1.038,0.963,1.003
29,397403.656,120.535,2,392,1,1.038,0.963,1.003,397403.656,157.745,1,1023,1,1.038,0.963,1.003,397403.656,190.568,6,1016,1,1.038,0.963,1.003,397403.656,148.904,3,933,1,1.038,0.963,1.003
30,397403.656,121.289,7,460,1,1.038,0.963,1.003,397403.656,156.763,0,1023,1,1.038,0.963,1.003,397403.656,190.918,9,835,1,1.038,0.963,1.003,397403.656,147.786,11,939,1,1.038,0.963,1.003
31,397403.656,120.624,2,443,1,1.038,0.963,1.003,397403.656,155.625,2,1023,1,1.038,0.963,1.003,397403.656,190.725,6,970,1,1.038,0.963,1.003,397403.656,148.554,6,813,1,1.038,0.963,1.003
32,397403.656,121.121,6,424,1,1.038,0.963,1.003,397403.656,156.633,0,1023,1,1.038,0.963,1.003,397403.656,189.448,0,878,1,1.038,0.963,1.003,397403.656,148.778,5,1018,1,1.038,0.963,1.003
33,397403.656,120.341,0,464,1,1.038,0.963,1.003,397403.656,156.434,2,1023,1,1.038,0.963,1.003,397403.656,191.829,1,904,1,1.038,0.963,1.003,397403.656,148.432,7,850,1,1.038,0.963,1.003
34,397403.656,119.847,1,441,1,1.038,0.963,1.003,397403.656,155.752,3,1023,1,1.038,0.963,1.003,397403.656,189.411,0,1023,1,1.038,0.963,1.003,397403.656,147.484,8,1023,1,1.038,0.963,1.003
35,397403.656,120.191,3,420,1,1.038,0.963,1.003,397403.656,156.855,3,1023,1,1.038,0.963,1.003,397403.656,190.813,3,777,1,1.038,0.963,1.003,397403.656,148.719,7,985,1,1.038,0.963,1.003
36,397403.656,120.470,4,558,1,1.038,0.963,1.003,397403.656,155.702,4,1023,1,1.038,0.963,1.003,397403.656,190.621,5,869,1,1.038,0.963,1.003,397403.656,147.941,0,1023,1,1.038,0.963,1.003
37,397403.656,121.616,3,446,1,1.038,0.963,1.003,397403.656,155.692,0,1023,1,1.038,0.963,1.003,397403.656,190.584,7,907,1,1.038,0.963,1.003,397403.656,148.277,8,1023,1,1.038,0.963,1.003
