 ,Area1,Mean1,Min1,Max1,Circ.1,AR1,Round1,Solidity1,Area2,Mean2,Min2,Max2,Circ.2,AR2,Round2,Solidity2,Area3,Mean3,Min3,Max3,Circ.3,AR3,Round3,Solidity3,Area4,Mean4,Min4,Max4,Circ.4,AR4,Round4,Solidity4
1,397403.656,120.175,0,455,1,1.038,0.963,1.003,397403.656,156.025,0,1023,1,1.038,0.963,1.003,397403.656,154.980,6,811,1,1.038,0.963,1.003,397403.656,152.746,0,1023,1,1.038,0.963,1.003
2,397403.656,119.560,4,471,1,1.038,0.963,1.003,397403.656,156.051,4,1023,1,1.038,0.963,1.003,397403.656,157.275,9,801,1,1.038,0.963,1.003,397403.656,153.366,5,1023,1,1.038,0.963,1.003
3,397403.656,120.069,3,455,1,1.038,0.963,1.003,397403.656,155.953,4,1023,1,1.038,0.963,1.003,397403.656,156.604,11,754,1,1.038,0.963,1.003,397403.656,152.286,1,1023,1,1.038,0.963,1.003
4,397403.656,119.552,1,431,1,1.038,0.963,1.003,397403.656,157.473,1,1023,1,1.038,0.963,1.003,397403.656,155.075,2,745,1,1.038,0.963,1.003,397403.656,151.780,10,922,1,1.038,0.963,1.003
5,397403.656,120.858,7,438,1,1.038,0.963,1.003,397403.656,156.752,5,1023,1,1.038,0.963,1.003,397403.656,155.768,5,786,1,1.038,0.963,1.003,397403.656,153.030,6,1023,1,1.038,0.963,1.003
6,397403.656,119.404,3,413,1,1.038,0.963,1.003,397403.656,157.050,0,1023,1,1.038,0.963,1.003,397403.656,155.801,11,753,1,1.038,0.963,1.003,397403.656,152.656,8,1023,1,1.038,0.963,1.003
7,397403.656,119.136,5,524,1,1.038,0.963,1.003,397403.656,155.409,6,1023,1,1.038,0.963,1.003,397403.656,155.657,3,879,1,1.038,0.963,1.003,397403.656,152.865,10,950,1,1.038,0.963,1.003
8,397403.656,119.926,7,482,1,1.038,0.963,1.003,397403.656,156.205,3,1023,1,1.038,0.963,1.003,397403.656,156.174,1,871,1,1.038,0.963,1.003,397403.656,152.284,12,1023,1,1.038,0.963,1.003
9,397403.656,120.565,6,454,1,1.038,0.963,1.003,397403.656,157.291,1,1023,1,1.038,0.963,1.003,397403.656,156.725,6,913,1,1.038,0.963,1.003,397403.656,152.133,4,1023,1,1.038,0.963,1.003
10,397403.656,119.727,9,406,1,1.038,0.963,1.003,397403.656,155.500,3,1023,1,1.038,0.963,1.003,397403.656,155.612,5,865,1,1.038,0.963,1.003,397403.656,152.428,14,954,1,1.038,0.963,1.003
