 ,Area1,Mean1,Min1,Max1,Circ.1,AR1,Round1,Solidity1,Area2,Mean2,Min2,Max2,Circ.2,AR2,Round2,Solidity2,Area3,Mean3,Min3,Max3,Circ.3,AR3,Round3,Solidity3,Area4,Mean4,Min4,Max4,Circ.4,AR4,Round4,Solidity4
28,397403.656,88.076,15,257,1,1.038,0.963,1.003,397403.656,83.148,11,281,1,1.038,0.963,1.003,397403.656,89.406,13,318,1,1.038,0.963,1.003,397403.656,101.530,10,325,1,1.038,0.963,1.003
29,397403.656,88.234,9,266,1,1.038,0.963,1.003,397403.656,82.790,7,239,1,1.038,0.963,1.003,397403.656,89.251,13,326,1,1.038,0.963,1.003,397403.656,101.422,8,330,1,1.038,0.963,1.003
30,397403.656,88.558,7,300,1,1.038,0.963,1.003,397403.656,82.756,11,279,1,1.038,0.963,1.003,397403.656,89.737,13,333,1,1.038,0.963,1.003,397403.656,102.237,12,356,1,1.038,0.963,1.003
31,397403.656,88.883,11,298,1,1.038,0.963,1.003,397403.656,82.665,10,252,1,1.038,0.963,1.003,397403.656,89.555,11,426,1,1.038,0.963,1.003,397403.656,101.780,16,328,1,1.038,0.963,1.003
32,397403.656,89.214,6,311,1,1.038,0.963,1.003,397403.656,83.349,10,278,1,1.038,0.963,1.003,397403.656,89.692,6,278,1,1.038,0.963,1.003,397403.656,101.569,5,349,1,1.038,0.963,1.003
33,397403.656,88.580,15,309,1,1.038,0.963,1.003,397403.656,83.070,10,285,1,1.038,0.963,1.003,397403.656,89.589,8,329,1,1.038,0.963,1.003,397403.656,102.475,4,312,1,1.038,0.963,1.003
34,397403.656,88.411,7,304,1,1.038,0.963,1.003,397403.656,82.769,11,280,1,1.038,0.963,1.003,397403.656,89.081,7,320,1,1.038,0.963,1.003,397403.656,101.535,14,363,1,1.038,0.963,1.003
35,397403.656,88.418,15,278,1,1.038,0.963,1.003,397403.656,82.653,11,246,1,1.038,0.963,1.003,397403.656,89.393,6,279,1,1.038,0.963,1.003,397403.656,101.876,12,328,1,1.038,0.963,1.003
36,397403.656,88.673,12,323,1,1.038,0.963,1.003,397403.656,83.211,14,283,1,1.038,0.963,1.003,397403.656,88.650,6,272,1,1.038,0.963,1.003,397403.656,101.320,14,324,1,1.038,0.963,1.003
37,397403.656,88.378,9,363,1,1.038,0.963,1.003,397403.656,82.905,11,252,1,1.038,0.963,1.003,397403.656,89.036,12,278,1,1.038,0.963,1.003,397403.656,100.598,12,328,1,1.038,0.963,1.003
38,397403.656,88.999,12,279,1,1.038,0.963,1.003,397403.656,83.826,2,261,1,1.038,0.963,1.003,397403.656,89.086,11,248,1,1.038,0.963,1.003,397403.656,101.757,8,344,1,1.038,0.963,1.003
39,397403.656,88.134,10,423,1,1.038,0.963,1.003,397403.656,83.281,11,241,1,1.038,0.963,1.003,397403.656,89.558,10,298,1,1.038,0.963,1.003,397403.656,100.847,3,349,1,1.038,0.963,1.003
40,397403.656,88.744,10,277,1,1.038,0.963,1.003,397403.656,82.608,14,298,1,1.038,0.963,1.003,397403.656,89.254,3,301,1,1.038,0.963,1.003,397403.656,101.048,9,369,1,1.038,0.963,1.003
41,397403.656,88.015,10,284,1,1.038,0.963,1.003,397403.656,83.310,9,272,1,1.038,0.963,1.003,397403.656,89.435,6,297,1,1.038,0.963,1.003,397403.656,101.889,13,326,1,1.038,0.963,1.003
42,397403.656,88.174,14,296,1,1.038,0.963,1.003,397403.656,82.753,9,297,1,1.038,0.963,1.003,397403.656,89.405,6,307,1,1.038,0.963,1.003,397403.656,101.492,8,374,1,1.038,0.963,1.003
43,397403.656,87.631,9,334,1,1.038,0.963,1.003,397403.656,82.182,5,277,1,1.038,0.963,1.003,397403.656,88.814,8,285,1,1.038,0.963,1.003,397403.656,101.194,8,405,1,1.038,0.963,1.003
44,397403.656,87.304,8,354,1,1.038,0.963,1.003,397403.656,82.719,8,269,1,1.038,0.963,1.003,397403.656,89.101,9,308,1,1.038,0.963,1.003,397403.656,101.222,14,328,1,1.038,0.963,1.003
45,397403.656,87.907,11,341,1,1.038,0.963,1.003,397403.656,82.631,6,241,1,1.038,0.963,1.003,397403.656,88.823,10,265,1,1.038,0.963,1.003,397403.656,100.642,17,340,1,1.038,0.963,1.003
46,397403.656,87.967,14,400,1,1.038,0.963,1.003,397403.656,81.985,10,293,1,1.038,0.963,1.003,397403.656,88.694,16,281,1,1.038,0.963,1.003,397403.656,100.462,9,382,1,1.038,0.963,1.003
47,397403.656,87.117,13,271,1,1.038,0.963,1.003,397403.656,82.487,4,254,1,1.038,0.963,1.003,397403.656,88.488,5,301,1,1.038,0.963,1.003,397403.656,99.966,16,348,1,1.038,0.963,1.003
48,397403.656,87.888,10,311,1,1.038,0.963,1.003,397403.656,82.755,8,307,1,1.038,0.963,1.003,397403.656,88.660,11,295,1,1.038,0.963,1.003,397403.656,100.860,9,352,1,1.038,0.963,1.003
49,397403.656,87.705,10,280,1,1.038,0.963,1.003,397403.656,81.953,11,253,1,1.038,0.963,1.003,397403.656,88.874,13,272,1,1.038,0.963,1.003,397403.656,100.846,8,323,1,1.038,0.963,1.003
50,397403.656,87.640,13,316,1,1.038,0.963,1.003,397403.656,83.045,7,267,1,1.038,0.963,1.003,397403.656,88.813,3,295,1,1.038,0.963,1.003,397403.656,100.798,11,338,1,1.038,0.963,1.003
51,397403.656,87.479,8,294,1,1.038,0.963,1.003,397403.656,82.047,14,250,1,1.038,0.963,1.003,397403.656,88.279,15,300,1,1.038,0.963,1.003,397403.656,100.978,15,358,1,1.038,0.963,1.003
